Bundling 6%
Bundling 23%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 11.1 MB
Copying public dir 23.8 MB
Copying public dir 34.6 MB
Copying public dir 38.3 MB
Copying public dir 47.2 MB
Copying public dir 58 MB
Copying public dir 65.9 MB
Getting composition
Rendered 519/13549, time remaining: 2m 31s
Rendered 520/13549, time remaining: 2m 31s
Rendered 521/13549, time remaining: 2m 31s
Rendered 522/13549, time remaining: 2m 31s
Rendered 523/13549, time remaining: 2m 31s
Rendered 524/13549, time remaining: 2m 31s
Rendered 525/13549, time remaining: 2m 31s
Rendered 526/13549, time remaining: 2m 31s
Rendered 527/13549, time remaining: 2m 31s
Rendered 528/13549, time remaining: 2m 31s
Rendered 529/13549, time remaining: 2m 31s
Rendered 530/13549, time remaining: 2m 31s
Rendered 531/13549, time remaining: 2m 31s
Rendered 532/13549, time remaining: 2m 31s
Rendered 533/13549, time remaining: 2m 31s
Rendered 534/13549, time remaining: 2m 31s
Rendered 535/13549, time remaining: 2m 31s
Rendered 536/13549, time remaining: 2m 31s
Rendered 537/13549, time remaining: 2m 31s
Rendered 538/13549, time remaining: 2m 32s
Rendered 539/13549, time remaining: 2m 31s
Rendered 540/13549, time remaining: 2m 31s
Rendered 541/13549, time remaining: 2m 31s
Rendered 542/13549, time remaining: 2m 32s
Rendered 543/13549, time remaining: 2m 31s
Rendered 544/13549, time remaining: 2m 31s
Rendered 545/13549, time remaining: 2m 31s
Rendered 546/13549, time remaining: 2m 31s
Rendered 547/13549, time remaining: 2m 31s
Rendered 548/13549, time remaining: 2m 31s
Rendered 549/13549, time remaining: 2m 31s
Rendered 550/13549, time remaining: 2m 31s
Rendered 551/13549, time remaining: 2m 31s
Rendered 552/13549, time remaining: 2m 31s
Rendered 553/13549, time remaining: 2m 31s
Rendered 554/13549, time remaining: 2m 31s
Rendered 555/13549, time remaining: 2m 30s
Rendered 556/13549, time remaining: 2m 30s
Rendered 557/13549, time remaining: 2m 30s
Rendered 558/13549, time remaining: 2m 31s
Rendered 559/13549, time remaining: 2m 30s
Rendered 560/13549, time remaining: 2m 30s
Rendered 561/13549, time remaining: 2m 30s
Rendered 562/13549, time remaining: 2m 30s
Rendered 563/13549, time remaining: 2m 31s
Rendered 564/13549, time remaining: 2m 31s
Rendered 565/13549, time remaining: 2m 30s
Rendered 566/13549, time remaining: 2m 30s
Rendered 567/13549, time remaining: 2m 31s
Rendered 568/13549, time remaining: 2m 30s
Rendered 569/13549, time remaining: 2m 30s
Rendered 570/13549, time remaining: 2m 30s
Rendered 571/13549, time remaining: 2m 31s
Rendered 572/13549, time remaining: 2m 30s
Rendered 573/13549, time remaining: 2m 30s
Rendered 574/13549, time remaining: 2m 30s
Rendered 575/13549, time remaining: 2m 31s
Rendered 576/13549, time remaining: 2m 30s
Rendered 577/13549, time remaining: 2m 30s
Rendered 578/13549, time remaining: 2m 31s
Rendered 579/13549, time remaining: 2m 30s
Rendered 580/13549, time remaining: 2m 30s
Rendered 581/13549, time remaining: 2m 30s
Rendered 582/13549, time remaining: 2m 31s
Rendered 583/13549, time remaining: 2m 31s
Rendered 584/13549, time remaining: 2m 30s
Rendered 585/13549, time remaining: 2m 30s
Rendered 586/13549, time remaining: 2m 31s
